"","RANK","Conference","School","Arena.Name","Arena","Capacity","address","lat","long"
"104",105,"PAC 12","Washington","Alaska Airlines Arena ","Alaska Airlines Arena ",9268,"Alaska Airlines Arena ",47.65217845,-122.302124801148
"105",106,"ACC","Notre Dame","Joyce Center ","Joyce Center ",9149,"Joyce Center ",42.4079403,-71.1163782454248
"106",107,"SEC","Auburn","Neville Arena ","Neville Arena ",9121,"Neville Arena ",32.602669,-85.492537
"107",108,"American","Charlotte","Barnhardt Student Activity Center, 9201 University City Blvd #202, Charlotte, NC 28223","Halton Arena ",9105,"Barnhardt Student Activity Center, 9201 University City Blvd #202, Charlotte, NC 28223",35.28439,-80.72945
"108",109,"Big East","Butler","Hinkle Fieldhouse ","Hinkle Fieldhouse ",9100,"Hinkle Fieldhouse ",39.8435958,-86.1674277308938
"109",109,"MAC","Northern Illinois","Convocation Center ","Convocation Center ",9100,"Convocation Center ",42.2542969,-83.647366129931
"110",111,"ACC","Clemson","Littlejohn Coliseum ","Littlejohn Coliseum ",9000,"Littlejohn Coliseum ",34.68018735,-82.846473041737
"111",111,"SWAC","Florida A&M","Lawson Center ","Lawson Center ",9000,"Lawson Center ",30.424264,-84.290524
"112",113,"American","SMU","Moody Coliseum ","Moody Coliseum ",8998,"Moody Coliseum ",32.8403971,-96.7806817290028
"113",114,"Missouri Valley","Evansville","Ford Center ","Ford Center ",8930,"Ford Center ",37.972297,-87.5679482175282
"114",115,"ACC","Virginia Tech","Cassell Coliseum ","Cassell Coliseum ",8925,"Cassell Coliseum ",37.22250695,-80.418912108596
"115",116,"Southland","New Orleans","Lakefront Arena ","Lakefront Arena ",8785,"Lakefront Arena ",30.03010495,-90.0505066920165
"116",117,"MAC","Eastern Michigan","799 N Hewitt Rd, Ypsilanti, MI 48197","George Gervin GameAbove Center ",8754,"799 N Hewitt Rd, Ypsilanti, MI 48197",42.25098,-83.647736
"117",118,"Mountain West","Colorado St.","Moby Arena ","Moby Arena ",8745,"Moby Arena ",40.57568405,-105.093216566135
"118",119,"Ivy","Penn","The Palestra ","The Palestra ",8722,"The Palestra ",39.9514018,-75.1886361741601
"119",120,"ACC","Boston College","Conte Forum ","Conte Forum ",8606,"Conte Forum ",42.3351475,-71.1677658832287
"120",121,"ACC","Georgia Tech","McCamish Pavilion ","McCamish Pavilion ",8600,"McCamish Pavilion ",33.78060245,-84.3927616064607
"121",121,"Missouri Valley","Murray St.","CFSB Center ","CFSB Center ",8600,"CFSB Center ",36.62266785,-88.3198817340516
"122",121,"Colonial","William & Mary","Kaplan Arena ","Kaplan Arena ",8600,"Kaplan Arena ",37.27349425,-76.7197210586418
"123",124,"Horizon","Cleveland St.","Wolstein Center ","Wolstein Center ",8500,"Wolstein Center ",41.49923375,-81.6766496152172
"124",124,"Sun Belt","James Madison","Atlantic Union Bank Center ","Atlantic Union Bank Center ",8500,"Atlantic Union Bank Center ",38.43054375,-78.8595716848321
"125",124,"Southland","Texas A&M Corpus Chris","American Bank Center ","American Bank Center ",8500,"American Bank Center ",27.80722875,-97.3934530379944
"126",124,"American","UAB","Bartow Arena ","Bartow Arena ",8500,"Bartow Arena ",33.502124,-86.8092439169453
"127",128,"Sun Belt","Old Dominion","Chartway Arena ","Chartway Arena ",8472,"Chartway Arena ",36.88413485,-76.3013785224339
"128",129,"American","Tulsa","Reynolds Center ","Reynolds Center ",8355,"Reynolds Center ",36.1490016,-95.9421785037874
"129",130,"Missouri Valley","Southern Illinois","Banterra Center ","Banterra Center ",8339,"Banterra Center ",37.7082751,-89.218717641296
"130",131,"Sun Belt","Appalachian St.","Holmes Center ","Holmes Center ",8325,"Holmes Center ",36.21071345,-81.6758730151542
"131",132,"Horizon","Detroit Mercy","Calihan Hall ","Calihan Hall ",8295,"Calihan Hall ",42.41434335,-83.1359254242648
"132",133,"SWAC","Texas Southern","3000 Wheeler Ave, Houston, TX 77004","Health & PE Arena ",8100,"3000 Wheeler Ave, Houston, TX 77004",29.7190741,-95.3506895
"133",134,"Sun Belt","Southern Miss","Reed Green Coliseum ","Reed Green Coliseum ",8095,"Reed Green Coliseum ",31.33099645,-89.3379338060356
"134",135,"American","East Carolina","200 Ficklen Dr, Greenville, NC 27858","Williams Arena at Minges Coliseum ",8000,"200 Ficklen Dr, Greenville, NC 27858",35.5989658,-77.3677044
"135",135,"Big Sky","Idaho St.","Holt Arena ","Holt Arena ",8000,"Holt Arena ",42.86998575,-112.428558929277
"136",135,"Missouri Valley","Illinois Chicago","Credit Union 1 Arena ","Credit Union 1 Arena ",8000,"Credit Union 1 Arena ",41.8746993,-87.6561358171872
"137",135,"SWAC","Jackson St.","Williams Center ","Williams Center ",8000,"Williams Center ",32.299722,-90.211874
"138",135,"CUSA","Louisiana Tech","Thomas Assembly Center ","Thomas Assembly Center ",8000,"Thomas Assembly Center ",32.5320734,-92.6584854584362
"139",135,"Big Ten","Rutgers","83 Rockafeller Rd, Piscataway, NJ 08854","Jersey Mike's Arena ",8000,"83 Rockafeller Rd, Piscataway, NJ 08854",40.5251962,-74.4413560279909
"140",141,"ACC","Miami FL","Watsco Center ","Watsco Center ",7972,"Watsco Center ",25.71531895,-80.2793698321104
"141",142,"Summit","Nebraska Omaha","Baxter Arena ","Baxter Arena ",7898,"Baxter Arena ",41.23611645,-96.0130108709843
"142",143,"Atlantic 10","George Mason","4500 Patriot Cir, Fairfax, VA 22030","EagleBank Arena ",7860,"4500 Patriot Cir, Fairfax, VA 22030",38.82686055,-77.3096753199218
"143",144,"SoCon","Western Carolina","Ramsey Center ","Ramsey Center ",7826,"Ramsey Center ",33.9366887,-83.3703716
"144",145,"Atlantic 10","Rhode Island","Ryan Center ","Ryan Center ",7657,"Ryan Center ",41.48776885,-71.5358428658674
"145",146,"Atlantic 10","VCU","Siegel Center ","Siegel Center ",7637,"Siegel Center ",37.55287535,-77.4528272220386
"146",147,"SoCon","UNC Greensboro","Greensboro Coliseum ","Greensboro Coliseum ",7617,"Greensboro Coliseum ",36.05155955,-79.8229972476459
"147",148,"CUSA","Western Kentucky","1605 Avenue of Champions, Bowling Green, KY 42101","E.A. Diddle Arena ",7523,"1605 Avenue of Champions, Bowling Green, KY 42101",36.9830722,-86.4599698
"148",149,"Big 12","Baylor","Foster Pavilion ","Foster Pavilion ",7500,"Foster Pavilion ",31.547865,-97.105676
"149",149,"Southland","Southeastern Louisiana","University Center ","University Center ",7500,"University Center ",30.52015005,-90.4731240503526
"150",149,"SWAC","Southern","Clark Activity Center ","Clark Activity Center ",7500,"Clark Activity Center ",30.521954,-91.185513
"151",149,"Ohio Valley","Tennessee Tech","Eblen Center ","Eblen Center ",7500,"Eblen Center ",36.17841905,-85.5098220879035
"152",149,"Western Athletic","Utah Valley","UCCU Center ","UCCU Center ",7500,"UCCU Center ",40.27866555,-111.717059568971
"153",154,"SWAC","Alabama St.","Dunn-Oliver Acadome ","Dunn-Oliver Acadome ",7400,"Dunn-Oliver Acadome ",32.36184355,-86.2931797968577
"154",155,"PAC 12","Stanford","Maples Pavilion ","Maples Pavilion ",7329,"Maples Pavilion ",37.429523,-122.160578939481
"155",156,"Big Sky","Montana","University of Montana, Missoula, MT 59812","Dahlberg Arena ",7322,"University of Montana, Missoula, MT 59812",46.8541841,-113.965528302663
"156",157,"Sun Belt","Georgia St.","455 Capitol Ave SE, Atlanta, GA 30312","GSU Convocation Center ",7300,"455 Capitol Ave SE, Atlanta, GA 30312",33.7425348,-84.3886842006416
"157",157,"MAC","Toledo","Savage Arena ","Savage Arena ",7300,"Savage Arena ",41.6601307,-83.6100354130828
"158",159,"Missouri Valley","Northern Iowa","McLeod Center ","McLeod Center ",7293,"McLeod Center ",42.51438265,-92.4672608509135
"159",160,"Western Athletic","Stephen F. Austin","Johnson Coliseum ","Johnson Coliseum ",7203,"Johnson Coliseum ",30.71290525,-95.5462087030306
"160",161,"Atlantic 10","Richmond","Robins Center ","Robins Center ",7201,"Robins Center ",37.58066725,-77.5388907319783
"161",162,"Colonial","Hampton","Hampton Convocation Center ","Hampton Convocation Center ",7200,"Hampton Convocation Center ",37.01985375,-76.3311392270882
"162",162,"Sun Belt","Texas St.","Strahan Arena ","Strahan Arena ",7200,"Strahan Arena ",29.8885339,-97.9324629778609
"163",164,"Missouri Valley","Drake","Knapp Center ","Knapp Center ",7152,"Knapp Center ",41.60477805,-93.6522633052631
"164",165,"Metro Atlantic","Siena","MVP Arena ","MVP Arena ",7146,"MVP Arena ",42.6484107,-73.7547596297671
"165",166,"Big West","UC Davis","The Pavilion ","The Pavilion ",7100,"The Pavilion ",38.541879,-121.759476
"166",167,"Big Ten","Northwestern","Welsh-Ryan Arena ","Welsh-Ryan Arena ",7039,"Welsh-Ryan Arena ",42.0668689,-87.6924404519104
"167",168,"Big 12","Houston","Fertitta Center ","Fertitta Center ",7035,"Fertitta Center ",29.7247367,-95.3469609779803
"168",169,"SWAC","Alcorn St.","Whitney Complex ","Whitney Complex ",7000,"Whitney Complex ",31.8731507,-91.1332301558736
"169",169,"Western Athletic","Grand Canyon","GCU Arena ","GCU Arena ",7000,"GCU Arena ",33.5101486,-112.1289216
"170",169,"Sun Belt","Louisiana Monroe","4099 Northeast Dr, Monroe, LA 71203","Fant-Ewing Coliseum ",7000,"4099 Northeast Dr, Monroe, LA 71203",32.53103365,-92.0693953269008
"171",169,"Ohio Valley","Southeast Missouri St.","Show Me Center ","Show Me Center ",7000,"Show Me Center ",37.32011465,-89.5274887833949
"172",169,"Western Athletic","UT Arlington","College Park Center ","College Park Center ",7000,"College Park Center ",32.730505,-97.1080740192308
"173",174,"Ivy","Princeton","Jadwin Gymnasium ","Jadwin Gymnasium ",6854,"Jadwin Gymnasium ",40.34340855,-74.6486474422414
"174",175,"Horizon","IUPUI","1202 E 38th St, Indianapolis, IN 46205","Indiana Farmers Coliseum ",6800,"1202 E 38th St, Indianapolis, IN 46205",39.82887885,-86.12957235
"175",175,"Big 12","TCU","Schollmaier Arena ","Schollmaier Arena ",6800,"Schollmaier Arena ",32.70883025,-97.3666972966431
"176",177,"Colonial","North Carolina A&T","405 N Benbow Rd, Greensboro, NC 27411","Corbett Sports Center ",6700,"405 N Benbow Rd, Greensboro, NC 27411",36.0773841,-79.7681522
"177",178,"SoCon","East Tennessee St.","1320 Pactolas Rd, Johnson City, TN 37604","Freedom Hall Civic Center ",6500,"1320 Pactolas Rd, Johnson City, TN 37604",36.323411,-82.3775107
"178",178,"Atlantic Sun","Eastern Kentucky","641 Eastern Bypass, Richmond, KY 40475","Baptist Health Arena ",6500,"641 Eastern Bypass, Richmond, KY 40475",37.736967,-84.270156
